ciq_interim_cocode|ciq_company_name|ciq_ntrm_date|ciq_interim_info_type|ciq_ntrm_months|ciq_ntrm_total_inc|ciq_ntrm_net_sales|ciq_ntrm_total_inc_includ_discont_oper|ciq_ntrm_total_income_net_of_pe|ciq_ntrm_sales_n_other_inc|ciq_ntrm_chg_in_stk_trade|ciq_ntrm_interest_exp|ciq_ntrm_depreciation|ciq_ntrm_total_tax_prov|ciq_ntrm_operating_expenses|ciq_ntrm_operating_expenses_pc_ntrm_total_exp|ciq_ntrm_after_tax_profit_loss_contin_oper|ciq_ntrm_eps_bef_xtraord_item|ciq_ntrm_shareholders_funds|ciq_ntrm_share_appln_suspense|ciq_ntrm_minority_interest_resv|ciq_ntrm_deposits_commercial_banks|ciq_ntrm_borrowings|ciq_ntrm_long_term_borrowings|ciq_ntrm_short_term_borrowings|ciq_ntrm_other_long_term_liab|ciq_ntrm_curr_liab_and_provisions|ciq_ntrm_current_liab|ciq_ntrm_deferred_tax_liability|ciq_ntrm_net_fixed_assets|ciq_ntrm_gross_fixed_assets|ciq_ntrm_net_pre_operative_exp|ciq_ntrm_cap_work_in_progress|ciq_ntrm_investments|ciq_ntrm_other_non_current_assets|ciq_ntrm_curr_assets_loans_n_advns|ciq_ntrm_current_assets|ciq_ntrm_inventories|ciq_ntrm_sundry_debtors_bills_recvbl|ciq_ntrm_cash_and_bank_balances|ciq_ntrm_loans_and_advances|ciq_ntrm_other_assets|ciq_ntrm_deferred_tax_asst|ciq_ntrm_misc_exp_not_written_off
5747|ADANI ENTERPRISES LTD.|30-06-2006|QC|3|169533.9000|169490.6000|169533.9000|169532.2000|169532.2000|449.1000|2285.8000|163.3000|516.4000|165271.7000|98.2335|1739.2000|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
5747|ADANI ENTERPRISES LTD.|31-03-2007|QC|3|66128.9000|66119.3000|66128.9000|66127.1000|66127.1000|-1718.5000|547.5000|57.3000|295.9000|63019.7000|98.5909|490.0000|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
5747|ADANI ENTERPRISES LTD.|30-06-2007|QC|3|32745.2000|32715.0000|32745.2000|32744.5000|32744.5000|2676.4000|321.3000|68.2000|109.2000|34230.9000|98.5510|687.4000|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
5747|ADANI ENTERPRISES LTD.|30-09-2007|QC|3|43892.3000|43823.1000|43892.3000|43892.3000|43892.3000|-1809.7000|488.7000|88.5000|118.9000|40907.8000|98.3207|476.1000|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
5747|ADANI ENTERPRISES LTD.|31-12-2007|QC|3|53608.5000|53361.6000|53608.5000|53593.8000|53593.8000|5723.8000|254.9000|141.1000|222.1000|57490.7000|98.9256|1217.2000|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
5747|ADANI ENTERPRISES LTD.|31-03-2008|QC|3|66263.5000|66197.4000|66263.5000|66256.5000|66256.5000|-1134.1000|1705.2000|149.9000|122.4000|61767.6000|96.8900|1379.2000|5.5800|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
5747|ADANI ENTERPRISES LTD.|30-06-2008|QC|3|50518.0000|50493.0000|50518.0000|50518.0000|50518.0000|-135.2000|1003.4000|125.6000|182.4000|48092.3000|97.3404|976.5000|3.7900|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
5747|ADANI ENTERPRISES LTD.|30-09-2008|QC|3|58917.3000|58808.2000|58917.3000|58877.7000|58877.7000|-1201.2000|1180.7000|193.8000|94.5000|55094.3000|97.4019|1152.2000|4.6100|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
5747|ADANI ENTERPRISES LTD.|31-12-2008|QC|3|66619.3000|66522.7000|66619.3000|66618.7000|66618.7000|-3813.6000|1159.4000|177.0000|183.6000|59970.1000|97.5243|1313.2000|2.6600|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
5747|ADANI ENTERPRISES LTD.|31-03-2009|QC|3|86775.3000|86758.9000|86775.3000|86766.2000|86766.2000|22169.2000|144.7000|325.4000|324.3000|106425.3000|99.2027|1663.9000|3.3700|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
