dividend_cocode|company_name|div_announcement_date|div_rate|div_per_share
5747|ADANI ENTERPRISES LTD.|31-03-1993|0.0000|NA
5747|ADANI ENTERPRISES LTD.|31-03-1994|20.0000|2.0000
5747|ADANI ENTERPRISES LTD.|14-08-1995|25.0000|2.5000
5747|ADANI ENTERPRISES LTD.|26-06-1996|25.0000|2.5000
5747|ADANI ENTERPRISES LTD.|30-06-1997|30.0000|3.0000
5747|ADANI ENTERPRISES LTD.|24-06-1998|30.0000|3.0000
5747|ADANI ENTERPRISES LTD.|01-06-1999|30.0000|3.0000
5747|ADANI ENTERPRISES LTD.|27-03-2000|25.0000|2.5000
5747|ADANI ENTERPRISES LTD.|13-06-2000|5.0000|0.5000
5747|ADANI ENTERPRISES LTD.|26-06-2001|30.0000|3.0000
5747|ADANI ENTERPRISES LTD.|28-06-2002|30.0000|3.0000
5747|ADANI ENTERPRISES LTD.|01-07-2003|30.0000|3.0000
5747|ADANI ENTERPRISES LTD.|05-05-2004|40.0000|4.0000
5747|ADANI ENTERPRISES LTD.|11-05-2005|40.0000|0.4000
5747|ADANI ENTERPRISES LTD.|20-05-2006|45.0000|0.4500
5747|ADANI ENTERPRISES LTD.|19-03-2007|45.0000|0.4500
5747|ADANI ENTERPRISES LTD.|21-05-2007|0.0000|0.0000
5747|ADANI ENTERPRISES LTD.|28-05-2008|60.0000|0.6000
5747|ADANI ENTERPRISES LTD.|20-05-2009|100.0000|1.0000
5747|ADANI ENTERPRISES LTD.|14-05-2010|100.0000|1.0000
5747|ADANI ENTERPRISES LTD.|12-05-2011|100.0000|1.0000
5747|ADANI ENTERPRISES LTD.|21-05-2012|100.0000|1.0000
5747|ADANI ENTERPRISES LTD.|20-05-2013|140.0000|1.4000
5747|ADANI ENTERPRISES LTD.|17-05-2014|140.0000|1.4000
5747|ADANI ENTERPRISES LTD.|13-05-2015|140.0000|1.4000
5747|ADANI ENTERPRISES LTD.|15-03-2016|40.0000|0.4000
5747|ADANI ENTERPRISES LTD.|24-05-2017|40.0000|0.4000
5747|ADANI ENTERPRISES LTD.|10-05-2018|40.0000|0.4000
5747|ADANI ENTERPRISES LTD.|29-05-2019|40.0000|0.4000
5747|ADANI ENTERPRISES LTD.|17-03-2020|100.0000|1.0000
5747|ADANI ENTERPRISES LTD.|05-05-2021|100.0000|1.0000
5747|ADANI ENTERPRISES LTD.|04-05-2022|100.0000|1.0000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|30-06-1988|15.0000|NA
18102|APOLLO HOSPITALS ENTERPRISE LTD.|23-03-1990|18.0000|1.8000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|16-09-1991|22.5000|2.2500
18102|APOLLO HOSPITALS ENTERPRISE LTD.|06-10-1992|20.0000|2.0000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|17-09-1993|20.0000|2.0000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|12-09-1994|20.0000|2.0000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|25-09-1995|22.5000|2.2500
18102|APOLLO HOSPITALS ENTERPRISE LTD.|02-07-1996|25.0000|2.5000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|06-07-1997|25.0000|2.5000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|23-06-1998|25.0000|2.5000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|17-06-1999|25.0000|2.5000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|03-05-2000|20.0000|2.0000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|06-07-2000|5.0000|0.5000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|12-06-2001|25.0000|2.5000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|17-06-2002|25.0000|2.5000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|26-06-2003|30.0000|3.0000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|25-06-2004|35.0000|3.5000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|23-05-2005|40.0000|4.0000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|12-06-2006|45.0000|4.5000
