cobeta_cocode|company_name|cobeta_from_date|cobeta_to_date|beta
5747|ADANI ENTERPRISES LTD.|01-04-1996|31-03-2001|0.6018
5747|ADANI ENTERPRISES LTD.|01-04-1997|31-03-2002|0.8624
5747|ADANI ENTERPRISES LTD.|01-04-1998|31-03-2003|0.8902
5747|ADANI ENTERPRISES LTD.|01-04-1999|31-03-2004|1.1081
5747|ADANI ENTERPRISES LTD.|01-04-2000|31-03-2005|1.3506
5747|ADANI ENTERPRISES LTD.|01-04-2001|31-03-2006|1.3775
5747|ADANI ENTERPRISES LTD.|01-04-2002|31-03-2007|1.2053
5747|ADANI ENTERPRISES LTD.|01-04-2003|31-03-2008|1.3608
5747|ADANI ENTERPRISES LTD.|01-04-2004|31-03-2009|1.3099
5747|ADANI ENTERPRISES LTD.|01-04-2005|31-03-2010|1.3595
5747|ADANI ENTERPRISES LTD.|01-04-2006|31-03-2011|1.4231
5747|ADANI ENTERPRISES LTD.|01-04-2007|31-03-2012|1.4359
5747|ADANI ENTERPRISES LTD.|01-04-2008|31-03-2013|1.4132
5747|ADANI ENTERPRISES LTD.|01-04-2009|31-03-2014|1.6624
5747|ADANI ENTERPRISES LTD.|01-04-2010|31-03-2015|1.8479
5747|ADANI ENTERPRISES LTD.|01-04-2011|31-03-2016|1.9522
5747|ADANI ENTERPRISES LTD.|01-04-2012|31-03-2017|2.0152
5747|ADANI ENTERPRISES LTD.|01-04-2013|31-03-2018|1.9904
5747|ADANI ENTERPRISES LTD.|01-04-2014|31-03-2019|1.9254
5747|ADANI ENTERPRISES LTD.|01-04-2015|31-03-2020|2.0557
5747|ADANI ENTERPRISES LTD.|01-04-2016|31-03-2021|1.8807
5747|ADANI ENTERPRISES LTD.|01-04-2017|31-03-2022|1.8770
18102|APOLLO HOSPITALS ENTERPRISE LTD.|01-04-1996|31-03-2001|0.8514
18102|APOLLO HOSPITALS ENTERPRISE LTD.|01-04-1997|31-03-2002|0.8973
18102|APOLLO HOSPITALS ENTERPRISE LTD.|01-04-1998|31-03-2003|0.9353
18102|APOLLO HOSPITALS ENTERPRISE LTD.|01-04-1999|31-03-2004|0.9250
18102|APOLLO HOSPITALS ENTERPRISE LTD.|01-04-2000|31-03-2005|0.7439
18102|APOLLO HOSPITALS ENTERPRISE LTD.|01-04-2001|31-03-2006|0.7038
18102|APOLLO HOSPITALS ENTERPRISE LTD.|01-04-2002|31-03-2007|0.5612
18102|APOLLO HOSPITALS ENTERPRISE LTD.|01-04-2003|31-03-2008|0.3600
18102|APOLLO HOSPITALS ENTERPRISE LTD.|01-04-2004|31-03-2009|0.4797
18102|APOLLO HOSPITALS ENTERPRISE LTD.|01-04-2005|31-03-2010|0.5525
18102|APOLLO HOSPITALS ENTERPRISE LTD.|01-04-2006|31-03-2011|0.5847
18102|APOLLO HOSPITALS ENTERPRISE LTD.|01-04-2007|31-03-2012|0.5622
18102|APOLLO HOSPITALS ENTERPRISE LTD.|01-04-2008|31-03-2013|0.6455
18102|APOLLO HOSPITALS ENTERPRISE LTD.|01-04-2009|31-03-2014|0.6344
18102|APOLLO HOSPITALS ENTERPRISE LTD.|01-04-2010|31-03-2015|0.5331
18102|APOLLO HOSPITALS ENTERPRISE LTD.|01-04-2011|31-03-2016|0.5453
18102|APOLLO HOSPITALS ENTERPRISE LTD.|01-04-2012|31-03-2017|0.6399
18102|APOLLO HOSPITALS ENTERPRISE LTD.|01-04-2013|31-03-2018|0.6992
18102|APOLLO HOSPITALS ENTERPRISE LTD.|01-04-2014|31-03-2019|0.7220
18102|APOLLO HOSPITALS ENTERPRISE LTD.|01-04-2015|31-03-2020|0.7149
18102|APOLLO HOSPITALS ENTERPRISE LTD.|01-04-2016|31-03-2021|0.6514
18102|APOLLO HOSPITALS ENTERPRISE LTD.|01-04-2017|31-03-2022|0.5983
22859|ASIAN PAINTS LTD.|01-04-1996|31-03-2001|0.5119
22859|ASIAN PAINTS LTD.|01-04-1997|31-03-2002|0.4253
22859|ASIAN PAINTS LTD.|01-04-1998|31-03-2003|0.4010
22859|ASIAN PAINTS LTD.|01-04-1999|31-03-2004|0.3478
22859|ASIAN PAINTS LTD.|01-04-2000|31-03-2005|0.2559
22859|ASIAN PAINTS LTD.|01-04-2001|31-03-2006|0.3292
22859|ASIAN PAINTS LTD.|01-04-2002|31-03-2007|0.3871
22859|ASIAN PAINTS LTD.|01-04-2003|31-03-2008|0.3620
22859|ASIAN PAINTS LTD.|01-04-2004|31-03-2009|0.3811
22859|ASIAN PAINTS LTD.|01-04-2005|31-03-2010|0.4237
22859|ASIAN PAINTS LTD.|01-04-2006|31-03-2011|0.4263
22859|ASIAN PAINTS LTD.|01-04-2007|31-03-2012|0.4074
22859|ASIAN PAINTS LTD.|01-04-2008|31-03-2013|0.4530
22859|ASIAN PAINTS LTD.|01-04-2009|31-03-2014|0.4927
22859|ASIAN PAINTS LTD.|01-04-2010|31-03-2015|0.5551
22859|ASIAN PAINTS LTD.|01-04-2011|31-03-2016|0.5714
22859|ASIAN PAINTS LTD.|01-04-2012|31-03-2017|0.7264
22859|ASIAN PAINTS LTD.|01-04-2013|31-03-2018|0.7547
22859|ASIAN PAINTS LTD.|01-04-2014|31-03-2019|0.7415
22859|ASIAN PAINTS LTD.|01-04-2015|31-03-2020|0.7030
22859|ASIAN PAINTS LTD.|01-04-2016|31-03-2021|0.6649
22859|ASIAN PAINTS LTD.|01-04-2017|31-03-2022|0.6645
28897|BAJAJ FINANCE LTD.|01-04-1996|31-03-2001|0.6252
28897|BAJAJ FINANCE LTD.|01-04-1997|31-03-2002|0.4988
28897|BAJAJ FINANCE LTD.|01-04-1998|31-03-2003|0.4907
28897|BAJAJ FINANCE LTD.|01-04-1999|31-03-2004|0.4451
28897|BAJAJ FINANCE LTD.|01-04-2000|31-03-2005|0.4789
28897|BAJAJ FINANCE LTD.|01-04-2001|31-03-2006|0.6927
28897|BAJAJ FINANCE LTD.|01-04-2002|31-03-2007|0.8664
28897|BAJAJ FINANCE LTD.|01-04-2003|31-03-2008|0.7321
28897|BAJAJ FINANCE LTD.|01-04-2004|31-03-2009|0.8521
28897|BAJAJ FINANCE LTD.|01-04-2005|31-03-2010|1.0175
28897|BAJAJ FINANCE LTD.|01-04-2006|31-03-2011|1.0269
28897|BAJAJ FINANCE LTD.|01-04-2007|31-03-2012|1.0149
28897|BAJAJ FINANCE LTD.|01-04-2008|31-03-2013|1.1237
28897|BAJAJ FINANCE LTD.|01-04-2009|31-03-2014|1.3180
28897|BAJAJ FINANCE LTD.|01-04-2010|31-03-2015|1.0898
28897|BAJAJ FINANCE LTD.|01-04-2011|31-03-2016|1.0559
28897|BAJAJ FINANCE LTD.|01-04-2012|31-03-2017|1.1419
28897|BAJAJ FINANCE LTD.|01-04-2013|31-03-2018|1.2246
28897|BAJAJ FINANCE LTD.|01-04-2014|31-03-2019|1.0963
28897|BAJAJ FINANCE LTD.|01-04-2015|31-03-2020|1.2985
28897|BAJAJ FINANCE LTD.|01-04-2016|31-03-2021|1.5532
28897|BAJAJ FINANCE LTD.|01-04-2017|31-03-2022|1.5367
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-1996|31-03-2001|0.6483
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-1997|31-03-2002|0.7510
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-1998|31-03-2003|0.7966
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-1999|31-03-2004|0.8463
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2000|31-03-2005|0.9220
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2001|31-03-2006|1.1419
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2002|31-03-2007|1.0639
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2003|31-03-2008|1.0168
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2004|31-03-2009|0.8560
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2005|31-03-2010|0.6933
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2006|31-03-2011|0.6972
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2007|31-03-2012|0.6748
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2008|31-03-2013|0.6024
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2009|31-03-2014|0.6513
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2010|31-03-2015|1.0200
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2011|31-03-2016|1.0354
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2012|31-03-2017|1.2308
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2013|31-03-2018|1.2252
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2014|31-03-2019|1.2097
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2015|31-03-2020|1.0849
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2016|31-03-2021|1.1384
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2017|31-03-2022|1.1073
34162|BHARTI AIRTEL LTD.|01-04-1999|31-03-2004|0.7919
34162|BHARTI AIRTEL LTD.|01-04-2000|31-03-2005|0.8569
34162|BHARTI AIRTEL LTD.|01-04-2001|31-03-2006|0.8609
34162|BHARTI AIRTEL LTD.|01-04-2002|31-03-2007|0.8197
34162|BHARTI AIRTEL LTD.|01-04-2003|31-03-2008|0.7568
34162|BHARTI AIRTEL LTD.|01-04-2004|31-03-2009|0.7698
