indasca_finance1_cocode|indasca_company_name|indasca_finance1_year|indasca_ann_rep_months|indasca_no_of_employees
5747|ADANI ENTERPRISES LTD.|31-03-2016|12|NA
5747|ADANI ENTERPRISES LTD.|31-03-2017|12|NA
5747|ADANI ENTERPRISES LTD.|31-03-2018|12|NA
5747|ADANI ENTERPRISES LTD.|31-03-2019|12|NA
5747|ADANI ENTERPRISES LTD.|31-03-2020|12|NA
5747|ADANI ENTERPRISES LTD.|31-03-2021|12|NA
5747|ADANI ENTERPRISES LTD.|31-03-2022|12|19419
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2016|12|43557
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2017|12|49747
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2018|12|54698
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2019|12|60374
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2020|12|62939
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2021|12|68496
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2022|12|71113
22859|ASIAN PAINTS LTD.|31-03-2016|12|NA
22859|ASIAN PAINTS LTD.|31-03-2017|12|NA
22859|ASIAN PAINTS LTD.|31-03-2018|12|NA
22859|ASIAN PAINTS LTD.|31-03-2019|12|NA
22859|ASIAN PAINTS LTD.|31-03-2020|12|NA
22859|ASIAN PAINTS LTD.|31-03-2021|12|NA
22859|ASIAN PAINTS LTD.|31-03-2022|12|NA
33873|BHARAT PETROLEUM CORPN. LTD.|31-03-2016|12|NA
33873|BHARAT PETROLEUM CORPN. LTD.|31-03-2017|12|NA
33873|BHARAT PETROLEUM CORPN. LTD.|31-03-2018|12|NA
33873|BHARAT PETROLEUM CORPN. LTD.|31-03-2019|12|NA
33873|BHARAT PETROLEUM CORPN. LTD.|31-03-2020|12|NA
33873|BHARAT PETROLEUM CORPN. LTD.|31-03-2021|12|NA
33873|BHARAT PETROLEUM CORPN. LTD.|31-03-2022|12|NA
34162|BHARTI AIRTEL LTD.|31-03-2011|12|NA
34162|BHARTI AIRTEL LTD.|31-03-2012|12|NA
34162|BHARTI AIRTEL LTD.|31-03-2013|12|33357
34162|BHARTI AIRTEL LTD.|31-03-2014|12|34038
34162|BHARTI AIRTEL LTD.|31-03-2016|12|23147
34162|BHARTI AIRTEL LTD.|31-03-2017|12|34770
34162|BHARTI AIRTEL LTD.|31-03-2018|12|58058
34162|BHARTI AIRTEL LTD.|31-03-2019|12|71373
34162|BHARTI AIRTEL LTD.|31-03-2020|12|75649
34162|BHARTI AIRTEL LTD.|31-03-2021|12|48809
34162|BHARTI AIRTEL LTD.|31-03-2022|12|67774
38924|BRITANNIA INDUSTRIES LTD.|31-03-2016|12|NA
38924|BRITANNIA INDUSTRIES LTD.|31-03-2017|12|NA
38924|BRITANNIA INDUSTRIES LTD.|31-03-2018|12|NA
38924|BRITANNIA INDUSTRIES LTD.|31-03-2019|12|NA
38924|BRITANNIA INDUSTRIES LTD.|31-03-2020|12|NA
38924|BRITANNIA INDUSTRIES LTD.|31-03-2021|12|NA
38924|BRITANNIA INDUSTRIES LTD.|31-03-2022|12|NA
47858|CIPLA LTD.|31-03-2016|12|NA
47858|CIPLA LTD.|31-03-2017|12|NA
47858|CIPLA LTD.|31-03-2018|12|NA
47858|CIPLA LTD.|31-03-2019|12|34592
47858|CIPLA LTD.|31-03-2020|12|35657
47858|CIPLA LTD.|31-03-2021|12|37212
47858|CIPLA LTD.|31-03-2022|12|37858
48799|COAL INDIA LTD.|31-03-2016|12|322404
48799|COAL INDIA LTD.|31-03-2017|12|310016
48799|COAL INDIA LTD.|31-03-2018|12|298757
48799|COAL INDIA LTD.|31-03-2019|12|285479
48799|COAL INDIA LTD.|31-03-2020|12|272445
48799|COAL INDIA LTD.|31-03-2021|12|259016
48799|COAL INDIA LTD.|31-03-2022|12|248550
61957|DIVI'S LABORATORIES LTD.|31-03-2016|12|9481
61957|DIVI'S LABORATORIES LTD.|31-03-2017|12|9735
61957|DIVI'S LABORATORIES LTD.|31-03-2018|12|10762
61957|DIVI'S LABORATORIES LTD.|31-03-2019|12|11847
61957|DIVI'S LABORATORIES LTD.|31-03-2020|12|13884
61957|DIVI'S LABORATORIES LTD.|31-03-2021|12|16818
61957|DIVI'S LABORATORIES LTD.|31-03-2022|12|16500
62987|DR. REDDY'S LABORATORIES LTD.|31-03-2016|12|NA
62987|DR. REDDY'S LABORATORIES LTD.|31-03-2017|12|NA
62987|DR. REDDY'S LABORATORIES LTD.|31-03-2018|12|NA
62987|DR. REDDY'S LABORATORIES LTD.|31-03-2019|12|NA
62987|DR. REDDY'S LABORATORIES LTD.|31-03-2020|12|NA
62987|DR. REDDY'S LABORATORIES LTD.|31-03-2021|12|NA
62987|DR. REDDY'S LABORATORIES LTD.|31-03-2022|12|NA
66185|EICHER MOTORS LTD.|31-03-2016|15|NA
66185|EICHER MOTORS LTD.|31-03-2017|12|NA
66185|EICHER MOTORS LTD.|31-03-2018|12|NA
66185|EICHER MOTORS LTD.|31-03-2019|12|NA
66185|EICHER MOTORS LTD.|31-03-2020|12|NA
66185|EICHER MOTORS LTD.|31-03-2021|12|NA
66185|EICHER MOTORS LTD.|31-03-2022|12|NA
85447|GRASIM INDUSTRIES LTD.|31-03-2016|12|NA
85447|GRASIM INDUSTRIES LTD.|31-03-2017|12|NA
85447|GRASIM INDUSTRIES LTD.|31-03-2018|12|NA
85447|GRASIM INDUSTRIES LTD.|31-03-2019|12|NA
85447|GRASIM INDUSTRIES LTD.|31-03-2020|12|NA
85447|GRASIM INDUSTRIES LTD.|31-03-2021|12|NA
85447|GRASIM INDUSTRIES LTD.|31-03-2022|12|NA
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|31-03-2016|12|10400
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|31-03-2017|12|NA
