ca_finance1_cocode|ca_company_name|ca_finance1_year|ca_ann_rep_months|ca_fs_format|ca_cost_of_goods_sold|ca_emp_compens_n_travel|ca_compensation_to_employees_no_of_employees|ca_total_assets|ca_non_current_assets|ca_net_fixed_assets|ca_cap_wip|ca_lt_inventories|ca_st_inventories|ca_total_assets|ca_op_cf_before_working_cap_chg
5747|ADANI ENTERPRISES LTD.|31-03-2002|12|IGAAP|35209.2600|124.3000|ER|18322.0000|NA|372.5000|28.8000|NA|NA|18322.0000|1268.3000
5747|ADANI ENTERPRISES LTD.|31-03-2003|12|IGAAP|42520.4900|146.8000|ER|17676.8000|NA|754.8000|30.4000|NA|NA|17676.8000|1088.7000
5747|ADANI ENTERPRISES LTD.|31-03-2004|12|IGAAP|84497.3700|185.3000|ER|21814.4000|NA|584.3000|172.2000|NA|NA|21814.4000|1308.7000
5747|ADANI ENTERPRISES LTD.|31-03-2005|12|IGAAP|143932.8000|237.1000|ER|36756.9000|NA|502.1000|64.5000|NA|NA|36756.9000|1408.7000
5747|ADANI ENTERPRISES LTD.|31-03-2006|12|IGAAP|117832.4700|364.2000|ER|43982.6000|NA|1400.9000|428.8000|NA|NA|43982.6000|2050.8000
5747|ADANI ENTERPRISES LTD.|31-03-2007|12|IGAAP|159383.6700|689.0000|ER|79235.6000|NA|4140.8000|8941.0000|NA|NA|79235.6000|5026.2000
5747|ADANI ENTERPRISES LTD.|31-03-2008|12|IGAAP|181715.0900|1054.5000|ER|124202.3000|NA|8121.9000|29842.6000|NA|NA|124202.3000|6871.9000
5747|ADANI ENTERPRISES LTD.|31-03-2009|12|IGAAP|243729.1400|1290.8000|ER|201639.6000|NA|19184.7000|69589.2000|NA|NA|201639.6000|10854.2000
5747|ADANI ENTERPRISES LTD.|31-03-2010|12|IGAAP|232030.1300|1334.2000|ER|305218.0000|NA|45772.8000|133365.9000|NA|NA|305218.0000|15735.9000
5747|ADANI ENTERPRISES LTD.|31-03-2011|12|IGAAP|217183.8900|4148.3000|ER|641330.6000|NA|172574.0000|289688.5000|NA|NA|641330.6000|42696.6000
5747|ADANI ENTERPRISES LTD.|31-03-2012|12|IGAAP|331697.4400|4905.0000|ER|1071670.5000|814072.0000|377350.3000|372207.2000|NA|52147.8000|1071670.5000|46453.4000
5747|ADANI ENTERPRISES LTD.|31-03-2013|12|IGAAP|393321.2100|7076.9000|ER|1121079.4000|841304.6000|487702.7000|292484.4000|NA|37333.4000|1121079.4000|69348.8000
5747|ADANI ENTERPRISES LTD.|31-03-2014|12|IGAAP|447120.5300|9201.1000|ER|1187179.2000|917742.8000|705787.0000|135736.0000|NA|39240.7000|1187179.2000|94588.7000
5747|ADANI ENTERPRISES LTD.|31-03-2015|12|IGAAP|508813.8300|12512.7000|ER|1312487.6000|984743.5000|838340.4000|67330.2000|NA|40816.8000|1312487.6000|124542.6000
5747|ADANI ENTERPRISES LTD.|31-03-2016|12|INDAS|306865.8900|5666.6000|ER|417703.9000|204194.1000|104733.0000|77049.4000|NA|12997.8000|417703.9000|17130.7000
5747|ADANI ENTERPRISES LTD.|31-03-2017|12|INDAS|335258.8800|5509.0000|ER|477451.6000|255307.3000|136313.6000|77314.9000|NA|16519.0000|477451.6000|23435.3000
5747|ADANI ENTERPRISES LTD.|31-03-2018|12|INDAS|331724.0800|6103.3000|ER|565999.6000|210383.3000|105194.9000|55258.7000|NA|23425.6000|565999.6000|34622.8000
5747|ADANI ENTERPRISES LTD.|31-03-2019|12|INDAS|366546.4900|7061.0000|ER|431150.1000|199110.1000|89980.9000|57649.2000|NA|26688.2000|431150.1000|21286.7000
5747|ADANI ENTERPRISES LTD.|31-03-2020|12|INDAS|386421.0300|7392.1000|ER|470455.7000|227154.4000|104446.0000|73467.3000|NA|26007.9000|470455.7000|31818.1000
5747|ADANI ENTERPRISES LTD.|31-03-2021|12|INDAS|355851.4900|8686.0000|ER|517257.0000|316795.5000|108062.1000|88254.6000|NA|17889.5000|517257.0000|NA
5747|ADANI ENTERPRISES LTD.|31-03-2022|12|INDAS|636248.2500|12551.4000|607.9407|1018524.1000|708148.0000|300762.2000|235444.2000|NA|67994.5000|1018524.1000|41221.2000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2002|12|IGAAP|2700.4500|560.5000|ER|5637.3000|NA|2755.8000|260.2000|NA|NA|5637.3000|802.8000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2003|12|IGAAP|3396.8700|729.8000|ER|6634.4000|NA|2772.9000|1267.1000|NA|NA|6634.4000|905.8000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2004|12|IGAAP|3603.8000|885.6000|ER|7456.5000|NA|3751.0000|1063.9000|NA|NA|7456.5000|1028.9000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2005|12|IGAAP|4410.0400|1145.0000|ER|8296.5000|NA|5042.6000|54.9000|NA|NA|8296.5000|1209.3000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2006|12|IGAAP|5412.3800|1224.4000|ER|12134.8000|NA|6033.8000|662.6000|NA|NA|12134.8000|1276.6000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2007|12|IGAAP|6773.6200|1548.9000|ER|14547.5000|NA|6216.1000|1876.5000|NA|NA|14547.5000|1616.0000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2008|12|IGAAP|8684.0800|2089.8000|ER|22504.6000|NA|9066.4000|753.4000|NA|NA|22504.6000|1926.1000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2009|12|IGAAP|11746.4900|2770.7000|ER|26454.5000|NA|10438.4000|2524.5000|NA|NA|26454.5000|2298.6000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2010|12|IGAAP|14261.4300|3481.1000|124.0819|32671.5000|NA|13219.8000|3240.0000|NA|NA|32671.5000|3151.3000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2011|12|IGAAP|18545.8800|4371.8000|135.4798|36304.9000|27491.9000|15295.0000|3610.0000|NA|1584.6000|36304.9000|4320.6000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2012|12|IGAAP|22236.4100|5289.1000|ER|40120.3000|29446.7000|20112.6000|2092.7000|NA|1915.3000|40120.3000|5370.7000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2013|12|IGAAP|26512.3000|6553.9000|176.2900|48462.0000|32643.2000|23406.1000|4034.0000|NA|2186.9000|48462.0000|6316.8000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2015|12|IGAAP|37229.7000|9018.6000|214.6587|64794.6000|45405.8000|32441.1000|4659.2000|NA|3502.6000|64794.6000|7592.3000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2016|12|INDAS|46914.3300|10776.1000|234.9909|77534.1000|57003.8000|39974.2000|4467.5000|NA|4061.4000|77534.1000|7275.5000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2017|12|INDAS|55435.8100|12567.4000|240.5170|86812.9000|64233.4000|46500.5000|2477.4000|NA|4668.7000|86812.9000|7628.4000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2018|12|INDAS|64411.9700|14718.2000|256.7553|100895.5000|77511.9000|47656.8000|7122.0000|NA|5658.5000|100895.5000|8674.1000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2019|12|INDAS|74258.8000|16800.0000|264.7166|93267.0000|69014.0000|49751.0000|8218.0000|NA|5848.0000|93267.0000|11437.0000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2020|12|INDAS|86965.1900|19397.0000|294.3962|124588.0000|96926.0000|74262.0000|2356.0000|NA|7378.0000|124588.0000|16693.0000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2021|12|INDAS|85120.9000|16727.0000|233.7363|126236.0000|88141.0000|67730.0000|2339.0000|NA|2495.0000|126236.0000|13013.0000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|31-03-2022|12|INDAS|113316.7000|18473.0000|251.2199|147026.0000|103891.0000|82647.0000|455.0000|NA|4319.0000|147026.0000|22704.0000
22859|ASIAN PAINTS LTD.|31-03-2002|12|IGAAP|9229.6000|1151.3000|ER|9021.0000|NA|4469.1000|49.8000|NA|NA|9021.0000|NA
22859|ASIAN PAINTS LTD.|31-03-2003|12|IGAAP|10779.2100|1384.9000|ER|14134.3000|NA|5788.2000|50.6000|NA|NA|14134.3000|3019.7000
22859|ASIAN PAINTS LTD.|31-03-2004|12|IGAAP|15100.9200|2064.2000|ER|14560.9000|NA|5275.2000|107.2000|NA|NA|14560.9000|3114.6000
22859|ASIAN PAINTS LTD.|31-03-2005|12|IGAAP|17773.4200|2224.3000|ER|15791.9000|NA|4772.9000|139.5000|NA|NA|15791.9000|3506.4000
22859|ASIAN PAINTS LTD.|31-03-2006|12|IGAAP|20972.7800|2513.8000|ER|17671.4000|NA|4629.8000|473.7000|NA|NA|17671.4000|4156.6000
